YearMonth,Manuf,HiTec,Utils,RF
198001,7.02,7.37,1.6,0.8
198002,-2.65,-3.56,-3.36,0.89
198003,-11.68,-12.67,-6.67,1.21
198004,3.25,0.72,11.96,1.26
198005,6.18,4.82,4.61,0.81
198006,2.41,3.03,4.54,0.61
198007,10.76,15.48,-0.12,0.53
198008,1.73,3.68,-1.08,0.64
198009,3.03,2.01,0.17,0.75
198010,0.37,1.94,2.01,0.95
198011,8.56,9.8,7.51,0.96
198012,-2.12,-1.17,-2.02,1.31
198101,-2.04,-8.08,-2.72,1.04
198102,4.4,0.49,-1.32,1.07
198103,5.88,5.01,2.96,1.21
198104,-0.84,0.15,-2.58,1.08
198105,-0.32,4.23,1.95,1.15
198106,-1.38,-6.66,3.45,1.35
198107,-2.73,-3.78,2.8,1.24
198108,-6.87,-7.27,-0.84,1.28
198109,-7.03,-3.89,-5.56,1.24
198110,3.76,5.15,4.87,1.21
198111,4.3,1.54,5.91,1.07
198112,-1.5,-0.02,-2.33,0.87
198201,-3.19,2.78,-0.69,0.8
198202,-5.76,-5.22,-0.43,0.92
198203,-1.72,-3.57,1.63,0.98
198204,3.13,7.44,3.83,1.13
198205,-4.6,-5.42,-0.5,1.06
198206,-2.6,-2.33,-2.24,0.96
198207,-2.3,1.56,-2.61,1.05
198208,13.8,12.78,11.92,0.76
198209,-1.02,1.19,1.09,0.51
198210,12.95,16.96,4.9,0.59
198211,5.73,10.67,0.11,0.63
198212,0.8,2.69,4.28,0.67
198301,5.03,8.39,3.65,0.69
198302,4.09,3.59,1.45,0.62
198303,2.15,0.68,0.3,0.63
198304,6.34,7.5,4.78,0.71
198305,2.17,2.74,2.62,0.69
198306,1.63,6.13,-0.41,0.67
198307,-2.46,-5.33,1.05,0.74
198308,0.74,-1.08,1.5,0.76
198309,2.38,2.14,4.66,0.76
198310,-2.29,-6.88,3.07,0.76
198311,6.32,2.26,-1.56,0.7
198312,-1.04,0.38,-3.64,0.73
198401,-3.51,-6.16,1.49,0.76
198402,-6.62,-5.94,-3.36,0.71
198403,3.22,1.85,-0.24,0.73
198404,0.01,-0.43,-0.39,0.81
198405,-5.68,-5.52,-0.83,0.78
198406,3.22,1.8,0.48,0.75
198407,-1.51,-2.32,-0.03,0.82
198408,11.97,13.87,7.75,0.83
198409,-2.5,-3.9,4.81,0.86
198410,0.54,-0.5,3.32,1
198411,-1.4,-3.84,3.03,0.73
198412,2.18,2.42,2.64,0.64
198501,8.44,12.55,2.39,0.65
198502,1.4,-1.3,1.39,0.58
198503,-2.71,-6.02,6.11,0.62
198504,-1.51,-3.61,1.62,0.72
198505,6.12,2.87,5.51,0.66
198506,1.55,-0.59,3.63,0.55
198507,3.47,4.46,-4.7,0.62
198508,-1.14,-2.52,1.92,0.55
198509,-3.93,-4.75,-5.31,0.6
198510,3.3,3.06,6.3,0.65
198511,7.85,8.66,4.24,0.61
198512,4.57,8.27,4.85,0.65
198601,1.54,-0.27,3.78,0.56
198602,10.18,4.99,6.55,0.53
198603,6.02,-0.07,3.95,0.6
198604,-1.73,3.91,-3.89,0.52
198605,4.45,0.99,3.62,0.49
198606,0.02,-3.97,5.08,0.52
198607,-7.28,-8.34,5.14,0.52
198608,6.17,6.97,7.9,0.46
198609,-6.79,-7.06,-9.09,0.45
198610,6.47,0.63,5.24,0.46
198611,2.83,3.52,0.55,0.39
198612,-1.91,-3.68,-3.31,0.49
198701,14.33,16.45,9.3,0.42
198702,4.79,9.41,-2.15,0.43
198703,3.24,2.68,-1.66,0.47
198704,-1.38,4.37,-4.33,0.44
198705,0.5,0.3,-1.85,0.38
198706,5.09,0.01,3.39,0.48
198707,7.2,1.03,-1.68,0.46
198708,2.7,7.4,3.71,0.47
198709,0.35,-2.71,-2.31,0.45
198710,-27.33,-25.93,-6.94,0.6
198711,-5.16,-9.8,-2.53,0.35
198712,10.84,11.86,0.57,0.39
198801,0.39,-2.44,9.76,0.29
198802,7.52,7.47,-1.43,0.46
198803,-1.17,-4.65,-3.17,0.44
198804,1.63,2.59,-0.29,0.46
198805,-0.31,-1.31,3.59,0.51
198806,7.43,9.4,3.23,0.49
198807,-2.35,-5.1,-0.26,0.51
198808,-4.42,-8.19,-0.13,0.59
198809,3.43,2.84,2.71,0.62
198810,0.69,0,2.53,0.61
198811,-2.15,-3.15,-0.46,0.57
198812,3.12,4.89,1.02,0.63
198901,7.52,7.09,2.76,0.55
198902,-2.09,-3.76,-1.82,0.61
198903,1.2,-5.49,0.57,0.67
198904,5.33,5.19,3.9,0.67
198905,3.64,2.46,5.34,0.79
198906,-2.68,-3.26,3.4,0.71
198907,7.63,2.95,5.8,0.7
198908,4.43,2.53,-0.8,0.74
198909,-2.53,-2.71,0.48,0.65
198910,-4.36,-4.42,1.01,0.68
198911,3.06,-1.8,3.23,0.69
198912,2.99,-1.09,4.79,0.61
199001,-6.29,-1.28,-5.35,0.57
199002,2.55,4.11,0.22,0.57
199003,3.91,4.46,-0.75,0.64
199004,-2.74,-2,-5.51,0.69
199005,8.08,12.54,5.42,0.68
199006,-0.6,-1.17,0.75,0.63
199007,0.22,-7.43,0.88,0.68
199008,-12.06,-12.04,-6.63,0.66
199009,-8.04,-6.66,0.48,0.6
199010,-1.81,-3.5,7.23,0.68
199011,7.4,11.19,2.3,0.57
199012,4.88,4.18,0.8,0.6
199101,6.44,14.96,-1.37,0.52
199102,5.97,6.41,4.83,0.48
199103,1.36,0.75,1.71,0.44
199104,0.39,-2.89,-0.03,0.53
199105,7.38,3.61,0.16,0.47
199106,-4.2,-8.82,-2.37,0.42
199107,3.16,4.63,3.99,0.49
199108,1.95,2.81,3.53,0.46
199109,-2.29,-1.3,3.73,0.46
199110,1.52,1.99,1.23,0.42
199111,-5.45,-4.37,1.89,0.39
199112,11.51,9.13,5.01,0.38
199201,2.21,6.63,-4.58,0.34
199202,2.04,3.86,-1.23,0.28
199203,-1.25,-5.17,-0.53,0.34
199204,2.99,-1.02,2.68,0.32
199205,-0.56,0.03,2.54,0.28
199206,-3.3,-4.09,0.54,0.32
199207,3.01,2.98,6.69,0.31
199208,-3.54,-4.55,-0.49,0.26
199209,1.81,3.36,0.82,0.26
199210,0.82,2.12,-0.42,0.23
199211,3.96,6.35,-0.24,0.23
199212,1.48,0,2.7,0.28
199301,-0.04,4.84,2.45,0.23
199302,1.65,-0.35,6.21,0.22
199303,2.25,2.21,1.77,0.25
199304,-0.09,-3.68,-0.15,0.24
199305,2.38,8.78,-0.06,0.22
199306,-0.22,-0.43,3.18,0.25
199307,-0.02,-3.89,1.95,0.24
199308,3.43,6.41,3.67,0.25
199309,-1.96,1.33,-0.63,0.26
199310,3.17,1.6,-1.96,0.22
199311,1.18,0.01,-5.51,0.25
199312,3.73,2.98,1.61,0.23
199401,4.82,4.72,-1.22,0.25
199402,-0.61,1.66,-4.95,0.21
199403,-4.39,-3.89,-3.93,0.27
199404,0.09,-1.6,2.11,0.27
199405,2.09,2.09,-5.35,0.31
199406,-2.56,-5.23,-3.13,0.31
199407,4.55,3.87,5.16,0.28
199408,4.76,9.27,0.66,0.37
199409,-1.65,-0.49,-2.78,0.37
199410,0.59,7.23,1.56,0.38
199411,-5.45,-2.14,0.26,0.37
199412,4.08,2.5,0.35,0.44
199501,-0.39,-0.82,6.23,0.42
199502,5.51,6.75,0.82,0.4
199503,3.5,4.52,-1.75,0.46
199504,2.98,8.29,2.38,0.44
199505,3.18,3.08,6.01,0.54
199506,2.09,9.79,-0.46,0.47
199507,3.52,7.91,-0.38,0.45
199508,-0.18,-0.08,0.98,0.47
199509,2.25,1.28,6.24,0.43
199510,-2.69,1.45,1.48,0.47
199511,6.49,-0.68,1.56,0.42
199512,1.54,-4.2,5.06,0.49
199601,3.36,1.95,1.91,0.43
199602,0.9,6.33,-2.58,0.39
199603,3.48,-3.42,-0.47,0.39
199604,1.64,10.01,-2.59,0.46
199605,2.36,3.85,1.35,0.42
199606,-0.46,-4.92,5.21,0.4
199607,-4,-7.52,-5.82,0.45
199608,3.24,4.42,2.89,0.41
199609,6.14,10.58,0.67,0.44
199610,1.61,-1.25,3.61,0.42
199611,6.09,12.02,2.61,0.41
199612,-0.42,-2.53,0.14,0.46
199701,4.25,9.38,0.9,0.45
199702,0.81,-7.44,-0.57,0.39
199703,-3.73,-5.55,-2.76,0.43
199704,5.34,8.15,-1.39,0.43
199705,7.81,10.14,3.77,0.49
199706,5.21,1.34,3.06,0.37
199707,7.15,15.96,2.81,0.43
199708,-5.55,-1.3,-1.16,0.41
199709,3.31,3.47,4.65,0.44
199710,-5.88,-8.42,0.94,0.42
199711,4.22,1.46,7.14,0.39
199712,-0.25,-4.18,7.97,0.48
199801,0.72,5.25,-4.37,0.43
199802,7.12,10.42,2.65,0.39
199803,4.88,1.33,6.77,0.39
199804,1.25,5.08,-2.51,0.43
199805,-2.47,-6.95,-0.88,0.4
199806,-0.57,8.73,2.84,0.41
199807,-5.77,0.47,-5.34,0.4
199808,-14.29,-17.6,2.25,0.43
199809,0.57,15.2,7.98,0.46
199810,11.19,6.35,-1.76,0.32
199811,3.59,11.62,1.35,0.31
199812,2.33,15.25,2.83,0.38
199901,0.56,15.09,-6.26,0.35
199902,-1.95,-11.46,-3.78,0.35
199903,4.75,8.51,-1.69,0.43
199904,9.27,2.36,7.18,0.37
199905,-3.17,-0.67,6.72,0.34
199906,4.56,11.72,-4.29,0.4
199907,-1.1,-1.8,-0.61,0.38
199908,-0.36,5.45,0.62,0.39
199909,-2.82,-0.21,-4.31,0.39
199910,4.37,3.25,2.17,0.39
199911,-1.04,12.87,-7.45,0.36
199912,9.79,20.76,-2.34,0.44
200001,-7.99,-4.71,5.75,0.41
200002,-4.24,18.18,-7.26,0.43
200003,8.36,3.95,5.77,0.47
200004,0.96,-10.69,7.6,0.46
200005,-1.41,-10.84,3.9,0.5
200006,-1.14,13.03,-4.76,0.4
200007,-0.63,-5.18,4.43,0.48
200008,6.96,12.56,11.72,0.5
200009,-6.06,-14.99,9.63,0.51
200010,4.59,-7.28,-2.24,0.56
200011,-3.63,-23.36,3.1,0.51
200012,7.14,-7.95,6.58,0.5
200101,-0.12,16.53,-10.77,0.54
200102,-4.29,-25.96,6.24,0.38
200103,-7.31,-13.59,1.64,0.42
200104,8.48,17.99,5.46,0.39
200105,2.89,-3.33,0.01,0.32
200106,-4.52,1.48,-6.22,0.28
200107,0.5,-7.58,-3.66,0.3
200108,-1.91,-12.65,0.42,0.31
200109,-12.76,-18.94,-6.39,0.28
200110,3.87,15.68,1.41,0.22
200111,8.35,15.92,-1.63,0.17
200112,2.67,-0.59,3.85,0.15
200201,1.65,-0.56,-4.07,0.14
200202,4.3,-13.2,-0.25,0.13
200203,4.96,6.43,10.04,0.13
200204,-1.48,-11.76,-0.56,0.15
200205,-0.31,-3.78,-6.47,0.14
200206,-3.11,-12.21,-5.36,0.13
200207,-8.51,-9.63,-12.3,0.15
200208,-1.27,-0.87,3.38,0.14
200209,-8.26,-16.74,-10.86,0.14
200210,3.89,19.41,-0.68,0.14
200211,6.23,16.14,1.62,0.12
200212,-3.76,-13.03,3.85,0.11
200301,-4.07,-1.47,-3.17,0.1
200302,-2.16,1.27,-3.92,0.09
200303,1.31,-0.97,4.35,0.1
200304,6.39,9.27,7.44,0.1
200305,4.63,9.77,10.11,0.09
200306,0.54,0.25,0.66,0.1
200307,4.95,5.67,-5.25,0.07
200308,4.19,6.05,1.91,0.07
200309,-3.75,-0.89,3.9,0.08
200310,8.86,8.23,1.58,0.07
200311,2.08,1.89,0.94,0.07
200312,6.75,2.1,5.81,0.08
200401,-0.62,4.5,1.92,0.07
200402,1.99,-2.93,2.06,0.06
200403,-0.22,-2.54,1.17,0.09
200404,-0.19,-4.9,-3.51,0.08
200405,1.59,4.83,1.28,0.06
200406,5.35,2.63,2.01,0.08
200407,-4.04,-8.49,1.05,0.1
200408,1.28,-4.43,3.67,0.11
200409,1.91,3.29,1.42,0.11
200410,-1.37,5.03,4.23,0.11
200411,7.17,5.84,4.92,0.15
200412,2.61,3.19,2.41,0.16
200501,-1.79,-6.12,1.76,0.16
200502,4.15,-0.18,2.32,0.16
200503,-1.48,-2.4,0.63,0.21
200504,-4.75,-4.54,2.1,0.21
200505,2.89,7.75,1.7,0.24
200506,-1.2,-1.57,5.57,0.23
200507,5.8,6.01,2.99,0.24
200508,-1.4,-0.58,1.16,0.3
