Year,Mkt-RF,SMB,HML,RMW,CMA,RF
196307.00,-0.39,-0.47,-0.83,0.66,-1.15,0.27
196308.00,5.07,-0.79,1.67,0.39,-0.40,0.25
196309.00,-1.57,-0.48,0.18,-0.76,0.24,0.27
196310.00,2.53,-1.29,-0.10,2.75,-2.24,0.29
196311.00,-0.85,-0.84,1.71,-0.45,2.22,0.27
196312.00,1.83,-1.89,-0.12,0.08,-0.30,0.29
196401.00,2.24,0.08,1.59,0.22,1.50,0.30
196402.00,1.54,0.32,2.83,0.06,0.85,0.26
196403.00,1.41,1.41,3.32,-2.01,2.93,0.31
196404.00,0.10,-1.52,-0.55,-1.35,-1.08,0.29
196405.00,1.42,-0.68,1.98,-0.26,0.24,0.26
196406.00,1.27,0.09,0.68,-0.42,0.14,0.30
196407.00,1.74,0.53,0.68,0.14,1.84,0.30
196408.00,-1.44,0.30,0.09,0.06,0.36,0.28
196409.00,2.69,-0.31,1.65,-0.48,0.58,0.28
196410.00,0.59,0.88,1.14,-0.29,0.48,0.29
196411.00,0.00,-0.27,-1.98,0.60,-0.16,0.29
196412.00,0.03,-0.58,-2.55,1.13,-1.63,0.31
196501.00,3.54,2.49,0.18,0.84,0.11,0.28
196502.00,0.44,3.31,0.22,0.40,-0.69,0.30
196503.00,-1.34,2.03,1.09,-0.30,0.73,0.36
196504.00,3.11,1.18,0.71,0.26,-2.30,0.31
196505.00,-0.77,0.06,-1.63,-0.37,0.70,0.31
196506.00,-5.51,-4.30,0.55,0.12,0.41,0.35
196507.00,1.43,1.07,2.18,-1.41,-0.02,0.31
196508.00,2.73,2.72,-0.96,2.06,-0.76,0.33
196509.00,2.86,0.62,-0.10,-0.82,0.82,0.31
196510.00,2.60,3.43,1.52,1.22,-0.76,0.31
196511.00,-0.03,5.19,0.21,-1.06,-0.90,0.35
196512.00,1.01,2.65,1.95,-1.28,-0.45,0.33
196601.00,0.72,4.72,3.49,-2.83,-0.07,0.38
196602.00,-1.21,4.86,0.27,-0.15,-1.44,0.35
196603.00,-2.51,0.22,-2.07,1.30,-0.01,0.38
196604.00,2.14,3.38,-0.54,0.41,-0.91,0.34
196605.00,-5.66,-5.19,-1.55,1.66,-1.52,0.41
196606.00,-1.44,1.34,0.50,0.06,0.80,0.38
196607.00,-1.63,-0.50,0.96,-0.45,1.78,0.35
196608.00,-7.91,-3.03,0.47,0.05,0.77,0.41
196609.00,-1.06,-1.19,0.53,-1.65,2.50,0.40
196610.00,3.86,-6.53,2.87,-3.64,4.28,0.45
196611.00,1.40,3.37,-4.46,4.17,-6.53,0.40
196612.00,0.13,1.93,-1.22,0.68,-0.13,0.40
196701.00,8.15,9.00,2.22,0.62,-2.98,0.43
196702.00,0.78,3.03,-2.17,1.94,-0.94,0.36
196703.00,3.99,1.91,0.31,0.90,-1.51,0.39
196704.00,3.89,0.46,-2.64,2.43,-3.75,0.32
196705.00,-4.33,2.37,0.80,-1.75,1.61,0.33
196706.00,2.41,6.47,0.96,-0.64,-2.38,0.27
196707.00,4.58,3.48,2.65,0.51,2.73,0.31
196708.00,-0.89,0.76,1.46,0.42,1.40,0.31
196709.00,3.11,2.46,-2.47,0.22,-0.96,0.32
196710.00,-3.09,0.46,-3.39,0.81,-2.57,0.39
196711.00,0.37,-0.05,-1.71,1.29,-2.29,0.36
196712.00,3.05,5.76,-0.39,-0.65,0.04,0.33
196801.00,-4.06,4.48,4.75,-4.58,6.45,0.40
196802.00,-3.75,-2.92,1.17,-0.14,2.48,0.39
196803.00,0.20,-1.52,-0.59,1.17,-1.15,0.38
196804.00,9.05,6.25,-1.03,2.79,-3.66,0.43
196805.00,2.28,7.02,0.84,0.39,-1.85,0.45
196806.00,0.69,-0.28,0.67,-1.33,2.65,0.43
196807.00,-2.72,-1.33,5.48,-3.00,3.59,0.48
196808.00,1.34,2.29,1.00,-0.60,0.42,0.42
196809.00,4.03,2.78,0.24,-2.03,0.89,0.43
196810.00,0.42,-0.42,2.89,-1.28,2.79,0.44
196811.00,5.43,2.41,-0.90,0.45,-2.50,0.42
196812.00,-3.94,3.60,0.02,-1.78,1.66,0.43
196901.00,-1.25,-0.46,1.69,-1.56,1.38,0.53
196902.00,-5.84,-4.12,0.90,2.18,0.79,0.46
196903.00,2.64,-0.40,-0.46,-1.35,-0.41,0.46
196904.00,1.46,-0.82,0.03,0.39,0.08,0.53
196905.00,-0.10,-0.18,0.73,-0.98,1.51,0.48
196906.00,-7.18,-5.49,-1.09,4.26,-1.53,0.51
196907.00,-7.00,-3.37,1.42,1.40,1.97,0.53
196908.00,4.68,0.71,-3.87,1.16,-4.08,0.50
196909.00,-2.98,1.29,-3.19,3.42,-0.83,0.62
196910.00,5.06,3.89,-3.19,0.01,-2.03,0.60
196911.00,-3.79,-2.41,-1.12,1.44,0.32,0.52
196912.00,-2.63,-3.70,-3.02,2.47,-2.04,0.64
197001.00,-8.10,3.09,3.04,-1.77,3.92,0.60
197002.00,5.13,-2.58,4.04,-2.28,3.06,0.62
